127.0.0.1 - - [07/Dec/2018:14:02:23 +0530] "GET / HTTP/1.1" 404 1036
127.0.0.1 - - [07/Dec/2018:14:02:28 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1774
127.0.0.1 - - [07/Dec/2018:14:02:28 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 200 9759
127.0.0.1 - - [07/Dec/2018:14:02:28 +0530] "GET /FreakyShoesProj/CSSFiles/ExternalCSS.css HTTP/1.1" 200 150
127.0.0.1 - - [07/Dec/2018:14:02:28 +0530] "GET /FreakyShoesProj/images/new.jpg HTTP/1.1" 200 9786
127.0.0.1 - - [07/Dec/2018:14:02:28 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 200 6884
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:02:43 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:02:43 +0530] "GET /FreakyShoesProj/CSSFiles/ExternalCSS.css HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:02:43 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 200 9759
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:02:43 +0530] "GET /FreakyShoesProj/images/new.jpg HTTP/1.1" 200 9786
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:02:43 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 200 6884
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:02:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:14:48 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:14:48 +0530] "GET /FreakyShoesProj/CSSFiles/ExternalCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:14:48 +0530] "GET /FreakyShoesProj/images/new.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:14:48 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:14:48 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:14:48 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:14:48 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:14:48 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:14:49 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:16:34 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:16:34 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:16:34 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:16:34 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:16:34 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:16:34 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:16:35 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:16:35 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1773
127.0.0.1 - - [07/Dec/2018:14:24:54 +0530] "GET /FreakyShoesProj/ HTTP/1.1" 404 1052
127.0.0.1 - - [07/Dec/2018:14:42:20 +0530] "GET /FreakyShoesProj/ HTTP/1.1" 404 1052
127.0.0.1 - - [07/Dec/2018:14:42:25 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1744
127.0.0.1 - - [07/Dec/2018:14:42:25 +0530] "GET /FreakyShoesProj/CSSFiles/ExternalCSS.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:14:42:25 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:14:42:25 +0530] "GET /FreakyShoesProj/images/new.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:14:42:25 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:14:52:15 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
127.0.0.1 - - [07/Dec/2018:14:52:15 +0530] "GET /FreakyShoesProj/images/menshoe.jpg HTTP/1.1" 200 42693
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:52:33 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:52:33 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:52:33 +0530] "GET /FreakyShoesProj/images/new.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:52:33 +0530] "GET /FreakyShoesProj/images/menshoe.jpg HTTP/1.1" 200 42693
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:52:33 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:52:33 +0530] "GET /FreakyShoesProj/CSSFiles/ExternalCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:53:22 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:53:22 +0530] "GET /FreakyShoesProj/images/menshoe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:53:23 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:53:23 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:53:24 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:53:24 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:53:24 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:53:24 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
127.0.0.1 - - [07/Dec/2018:14:53:37 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
127.0.0.1 - - [07/Dec/2018:14:53:37 +0530] "GET /FreakyShoesProj/CSSFiles/ExternalCSS.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:14:53:37 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:14:53:37 +0530] "GET /FreakyShoesProj/images/new.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:14:53:37 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:14:53:37 +0530] "GET /FreakyShoesProj/images/menshoe.jpg HTTP/1.1" 200 35069
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:55:35 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:55:35 +0530] "GET /FreakyShoesProj/images/menshoe.jpg HTTP/1.1" 200 35069
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:55:35 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:55:36 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:55:36 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:55:36 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [07/Dec/2018:14:55:36 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1779
127.0.0.1 - - [07/Dec/2018:15:01:05 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1827
127.0.0.1 - - [07/Dec/2018:15:01:05 +0530] "GET /FreakyShoesProj/CSSFiles/ExternalCSS.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:15:01:05 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:15:01:05 +0530] "GET /FreakyShoesProj/images/new.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:15:01:05 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2018:15:01:05 +0530] "GET /FreakyShoesProj/images/menshoe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:15:36 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:15:36 +0530] "GET /FreakyShoesProj/images/download1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:15:36 +0530] "GET /FreakyShoesProj/images/womenshoe.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:15:36 +0530] "GET /FreakyShoesProj/images/menshoe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:15:36 +0530] "GET /FreakyShoesProj/images/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:15:36 +0530] "GET /FreakyShoesProj/CSSFiles/ExternalCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:15:36 +0530] "GET /FreakyShoesProj/images/new.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:15:37 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:15:37 +0530] "GET /FreakyShoesProj/images/womenshoe.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:15:37 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:15:37 +0530] "GET /FreakyShoesProj/images/womenshoe.jpg HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:15:45 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:15:45 +0530] "GET /FreakyShoesProj/images/womenshoe.jpg HTTP/1.1" 200 236745
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:16:59 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:16:59 +0530] "GET /FreakyShoesProj/images/womenshoe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:17:00 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:17:00 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:17:00 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:17:00 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:17:00 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:17:01 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:17:01 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:17:07 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:17:07 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:17:07 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [07/Dec/2018:15:17:08 +0530] "GET /FreakyShoesProj/JSP/body.jsp HTTP/1.1" 200 1864
